Date,Close,High,Low,Open,Volume
2015-11-10,7.944919109344482,8.642731330401627,7.360160563968347,7.738304899189304,11957800
2015-11-11,8.252894401550293,8.284081502169034,7.796782590276738,7.796782590276738,3462400
2015-11-12,8.003396987915039,8.143738558246362,7.835766056003526,8.069669664634496,1368600
2015-11-13,8.0852632522583,8.323065353182082,7.960514852940617,8.167129854034977,654200
2015-11-16,7.894239902496338,8.077463968354555,7.820170282869016,7.933223951961185,1131500
2015-11-17,7.738306522369385,7.894242018466786,7.683728541065972,7.796782240461023,2206400
2015-11-18,7.465417861938477,7.738305501787935,7.367958096786384,7.687626007515807,2208600
2015-11-19,7.703220367431641,7.855257371825732,7.212023033744144,7.375755478306642,3097900
2015-11-20,7.691523551940918,7.769491652004067,7.516096442137197,7.570673666046056,1648100
2015-11-23,7.640845775604248,7.695423006428884,7.465417900012198,7.508300434836699,1535700
2015-11-24,7.675931930541992,7.769493223405454,7.488808601256009,7.535589619467269,1302600
2015-11-25,7.640845775604248,7.718813141988157,7.57847158507352,7.660337431310475,720300
2015-11-27,7.60576057434082,7.679830208071519,7.531690940610122,7.531690940610122,199000
2015-11-30,7.718815326690674,7.750002430783111,7.562879806228489,7.617457796059663,1094300
2015-12-01,8.069671630859375,8.108654955497167,7.6954256171506765,7.718815760645203,1086500
2015-12-02,8.081365585327148,8.245098061803146,7.94102399374714,8.225606401282342,825300
2015-12-03,8.147638320922852,8.17102846239987,8.007296728501547,8.007296728501547,1487200
2015-12-04,8.463407516479492,8.545274123923045,7.890344238611265,8.034585050031259,1120600
2015-12-07,8.619341850280762,8.716801615232614,8.34255573116682,8.401031441426133,921200
2015-12-08,8.428324699401855,8.689517020050703,8.373746700159256,8.654431428951654,1278600
2015-12-09,8.369844436645508,8.517983697362919,8.190518824108544,8.190518824108544,1093300
2015-12-10,8.475101470947266,8.517984007488694,8.272384971826554,8.37374322138691,598400
2015-12-11,8.338655471801758,8.502387871721346,8.210008639261998,8.424420522534158,581300
2015-12-14,8.248992919921875,8.510185071412925,8.178821783169225,8.510185071412925,578500
2015-12-15,8.303572654724121,8.377642293010245,8.252893898144615,8.303572654724121,1132700
2015-12-16,8.428324699401855,8.467308028570274,8.334762627431495,8.416629254515724,622300
2015-12-17,8.545273780822754,8.63493660249395,8.428322338952423,8.428322338952423,674600
2015-12-18,8.84544849395752,8.935111299448932,8.521882103374555,8.545272238816011,2169500
2015-12-21,9.102743148803711,9.196304443731742,8.81036382331896,8.84934788209541,585700
2015-12-22,9.009181022644043,9.196303595235252,8.95460304796902,9.130030924497655,400200
2015-12-23,9.122233390808105,9.149522004649201,8.981891841974047,9.09884325659559,372300
2015-12-24,9.133929252624512,9.317153342297857,9.110539117328955,9.110539117328955,165100
2015-12-28,9.285964965820312,9.29376192436243,9.02477280313047,9.114435595688159,193800
2015-12-29,9.434106826782227,9.449700004642832,9.27037436967083,9.313256166456817,176100
2015-12-30,9.3522367477417,9.527664580664851,9.289862572382095,9.426306359815788,110300
2015-12-31,9.418514251708984,9.434108175357789,9.235290110190752,9.344444601495569,177800
2016-01-04,9.184605598449707,9.356134947347542,9.180707119661257,9.317150903021835,313100
2016-01-05,9.118332862854004,9.254776644967963,8.935108822823642,9.196300950793065,1032300
2016-01-06,9.091047286987305,9.31325544509313,8.977994339687429,9.04816474996371,567200
2016-01-07,9.032573699951172,9.157322116780868,8.86884121697239,8.88443514085571,332000
2016-01-08,9.024773597717285,9.293762742632413,8.93900927687953,9.153420450753398,561400
2016-01-11,9.091047286987305,9.297662268440304,9.03647005336385,9.114437423746065,650000
2016-01-12,8.888330459594727,9.250880912074127,8.775277516441232,9.188506720632404,1750400
2016-01-13,8.939011573791504,9.161219763991188,8.853246487357136,8.954604752696477,1442900
2016-01-14,8.883942604064941,9.189863482990079,8.767692343314637,8.994073723699508,762500
2016-01-15,8.97572135925293,8.97572135925293,8.620853078646304,8.841115968282088,886400
2016-01-19,9.220457077026367,9.281641499302404,8.8655888282203,8.994075648201662,1268500
2016-01-20,9.232696533203125,9.269406729067851,8.877828194521193,9.159275557975626,1151500
2016-01-21,9.575323104858398,9.734402099079775,9.153152556268488,9.177626202802719,1186000
2016-01-22,9.813946723937988,9.924077309090249,9.587564659300211,9.660985632899749,438800
2016-01-25,9.9730224609375,10.14433861232998,9.820061986585724,9.826180545599291,658600
2016-01-26,10.13821792602539,10.291178368281647,9.856771272431748,9.985257483769134,363600
2016-01-27,9.9485502243042,10.174931091769146,9.917957426676569,10.058681961771862,256400
2016-01-28,10.070919036865234,10.327892730613714,9.87512977819897,10.003617208571226,258600
2016-01-29,10.340128898620605,10.584865449411238,10.12598397905533,10.12598397905533,586800
2016-02-01,10.517560958862305,10.682757359360863,10.278941861261043,10.278941861261043,502200
2016-02-02,10.30953598022461,10.603219804506228,10.254470117297332,10.4380222157244,443700
2016-02-03,10.30953598022461,10.670522785194184,10.181048577729038,10.376837793916783,759200
2016-02-04,10.13821792602539,10.364599894042698,10.021967663151878,10.27894125282221,312200
2016-02-05,9.917957305908203,10.223878276483966,9.862892604840784,10.132102218710415,352900
2016-02-08,9.263287544250488,9.832300173944647,9.244931865213475,9.820063054586639,618800
2016-02-09,9.177628517150879,9.379536297848365,8.975720736453392,9.171509958099946,1024200
2016-02-10,9.079732894897461,9.459074761330108,9.0736143365281,9.214338261534156,885100
2016-02-11,9.330588340759277,9.501903897734799,8.93900934131736,9.043022503926965,299500
2016-02-12,9.612034797668457,9.771113807302168,9.379534841318685,9.434600697230186,841600
2016-02-16,9.832297325134277,10.003613445521454,9.532494989703416,9.6609817882449,1522600
2016-02-17,9.875129699707031,10.070918956817074,9.844538065907097,9.850656626066288,338600
2016-02-18,9.899601936340332,10.070916918133848,9.728285787551028,9.924075005026925,605200
2016-02-19,10.08315372467041,10.125982468796504,9.7527591386314,9.911838748166026,429200
2016-02-22,9.991378784179688,10.291181193259666,9.991378784179688,10.095391960145875,379400
2016-02-23,9.783350944519043,9.95466708093996,9.434601280194055,9.79558806147676,694600
2016-02-24,9.691573143005371,9.862889248344759,9.605915090335676,9.734401877591345,545200
2016-02-25,10.03420639038086,10.040324949093385,9.703811805376798,9.703811805376798,302000
2016-02-26,9.979141235351562,10.058681337249016,9.783352010674493,10.015852590225387,527100
2016-02-29,10.040325164794922,10.11986526277082,9.777232969482883,9.893483253526853,3979300
2016-03-01,10.395193099975586,10.401311658637802,10.077035051514745,10.156575147127825,1591500
2016-03-02,10.7990083694458,10.829601162002561,10.346245542567141,10.389074285150896,1510200
2016-03-03,10.560388565063477,10.878546549720177,10.266704810147523,10.719467557391827,1222000
2016-03-04,10.499208450317383,10.652168947748574,10.401313825321097,10.474735377566303,1461100
2016-03-07,10.817366600036621,10.896905545479838,10.462498291528451,10.462498291528451,2359500
2016-03-08,10.63381290435791,10.792891956286802,10.554273961891436,10.76841888437248,1278000
2016-03-09,10.719470024108887,10.890785003734353,10.597101181237177,10.63381136730038,1431300
2016-03-10,10.517560958862305,10.694994475544648,10.40131068910762,10.493086726494736,1028900
2016-03-11,11.117168426513672,11.28848459491803,10.55427377832326,10.55427377832326,1876500
2016-03-14,10.988679885864258,11.172233154759216,10.872430765926168,11.11716729079031,746500
2016-03-15,10.872430801391602,11.159996073170518,10.866312242375564,10.970325411656585,272200
2016-03-16,10.878551483154297,11.04374794083909,10.780656853786999,10.872432922944336,549000
2016-03-17,10.93973159790039,11.007034573813938,10.829601046854174,10.866311230536246,342400
2016-03-18,10.896903991699219,11.019272839389831,10.841838126938024,10.92749678711978,1099100
2016-03-21,11.062102317810059,11.135523864680884,10.799010094767116,10.841838844193475,425900
2016-03-22,11.043746948242188,11.184471486431079,10.91526069636929,10.994799637957856,481800
2016-03-23,10.927496910095215,11.049864592167106,10.81124662018046,11.007035845092153,424500
2016-03-24,11.055980682373047,11.147756715181119,10.835717270037216,10.92749446984086,591000
2016-03-28,11.172234535217285,11.18447165472148,10.97644529113396,11.05598423391933,438900
2016-03-29,11.279507637023926,11.310511856909125,11.074876710670157,11.130685252651656,408300
2016-03-30,11.316716194152832,11.521347179395216,11.248505471493532,11.291911864918353,404000
2016-03-31,11.130687713623047,11.397327138700625,11.093481222252322,11.248504721424034,1500500
2016-04-01,11.000468254089355,11.211300324731084,10.950860777628685,11.09348212461117,635300
2016-04-04,10.777233123779297,11.031472750107346,10.7276256514377,10.981864095030314,740200
2016-04-05,10.814440727233887,10.851646039632385,10.547800092450945,10.702823607302838,745000
2016-04-06,10.857847213745117,11.000468564755394,10.752431175447182,10.826841800871863,655900
2016-04-07,10.981860160827637,11.000463399816995,10.78963142221097,10.808234661200329,294500
2016-04-08,11.10588264465332,11.155490113767232,10.913653849678832,11.031472032350132,547800
2016-04-11,11.099679946899414,11.248502332570474,11.031470426009669,11.099679946899414,447900
2016-04-12,11.10588264465332,11.16789227672955,11.025270950868974,11.074878419982886,412600
2016-04-13,11.130687713623047,11.223701576578987,10.969463132556216,11.074879159302396,1036100
2016-04-14,11.279507637023926,11.353918237842473,11.136885150440554,11.143086230964629,737700
2016-04-15,11.155491828918457,11.335319671314426,11.155491828918457,11.248505699965959,434800
2016-04-18,11.267107009887695,11.316714478098715,11.099681361149756,11.161690992097363,493000
2016-04-19,11.335320472717285,11.415932184594858,11.260908660977075,11.28571299246902,930200
2016-04-20,11.211299896240234,11.353921237771795,11.192696649752667,11.273309535129975,601300
2016-04-21,10.907449722290039,11.273305148365694,10.820636971267012,11.236099852603685,515000
2016-04-22,11.000468254089355,11.006669336488882,10.771034118984584,10.808239430646204,357700
2016-04-25,11.143088340759277,11.143088340759277,10.826840270565173,10.981863764813141,272000
2016-04-26,11.012866973876953,11.248502117670583,10.932254110635727,11.149287195785353,456700
2016-04-27,11.056275367736816,11.124486082479951,10.913654039396974,10.99426573458264,351400
2016-04-28,11.12448501586914,11.198895622331394,11.025270085429293,11.03147116642369,325300
2016-04-29,11.006667137145996,11.149288455630009,10.963260751758279,11.124485313723582,354100
2016-05-02,11.143088340759277,11.186495912646444,10.981863764813141,11.019070255002141,341200
2016-05-03,11.353919982910156,11.38492539029598,11.099681556023185,11.14308794362798,332200
2016-05-04,11.769383430480957,11.78178559390999,11.291910783081791,11.322916191654375,650200
2016-05-05,11.71977710723877,11.781786747721247,11.58335684436573,11.750782518847767,277300
2016-05-06,11.794189453125,11.84379693123837,11.61436160575431,11.68257233168603,486600
2016-05-09,11.800383567810059,11.862391991785195,11.508938771093476,11.812784542964161,314300
2016-05-10,11.601957321166992,11.90580439968395,11.50894346453758,11.806589461581197,255400
2016-05-11,11.533745765686035,11.750778848211487,11.366320143503389,11.564749984874608,237600
2016-05-12,11.63296127319336,11.676367655341043,11.440732502509952,11.533746347502877,210400
2016-05-13,11.806589126586914,11.812789025148986,11.428331446593065,11.558550605632396,603500
2016-05-16,11.9306058883667,12.141437898281785,11.76938134062368,11.76938134062368,406700
2016-05-17,11.8251953125,11.992621017723602,11.676372857657597,11.8437985628812,469500
2016-05-18,11.725977897644043,11.81279068251701,11.577155473832319,11.806590783085074,658800
2016-05-19,11.725977897644043,11.794188618750225,11.465538360289653,11.63296403060365,602100
2016-05-20,11.756979942321777,11.769382104353385,11.440733089662691,11.713573557946424,391800
2016-05-23,11.893401145935059,11.91820428681825,11.73837767152555,11.781784055122573,449900
2016-05-24,12.02982234954834,12.091831980869097,11.843794638321414,11.930607412529268,546800
2016-05-25,12.067025184631348,12.141436963528179,11.725974056297368,12.036020966686477,530800
2016-05-26,11.97400951385498,12.166239420419277,11.93060314228721,12.01741588542275,399900
2016-05-27,12.116633415222168,12.153838712042562,11.874796029051955,11.98021202232229,290400
2016-05-31,12.054624557495117,12.246853316358193,12.005017097700286,12.073226615708718,558900
2016-06-01,11.899604797363281,11.998819747798716,11.800389846927844,11.986417583310411,660300
2016-06-02,11.961606979370117,11.980209031769256,11.84378885565825,11.89339629994723,311300
2016-06-03,12.191048622131348,12.265460426665696,11.787987736303698,12.029824031253186,754400
2016-06-06,12.277862548828125,12.339872194576877,12.160045522914677,12.191049754421243,599700
2016-06-07,12.333673477172852,12.401884218852008,12.191052092512656,12.246860666116358,472000
2016-06-08,12.432882308959961,12.525897340799446,12.234452448808211,12.296462075789448,505600
2016-06-09,12.525898933410645,12.5445009959555,12.35227219233438,12.451487135024985,845900
2016-06-10,12.488688468933105,12.594104459840294,12.315062965840115,12.451483172946755,809900
2016-06-13,12.414280891418457,12.501093664044985,12.352271261227227,12.451486196439067,912800
2016-06-14,12.240653038024902,12.470088293817588,12.048424266567384,12.439082890204947,1132100
2016-06-15,12.457687377929688,12.563103395282049,12.222051017854838,12.302663892572408,764400
2016-06-16,12.451485633850098,12.550700564579161,12.253055772391972,12.507294180227106,615100
2016-06-17,12.4390869140625,12.556905120432525,12.191049518601075,12.53830187224707,2201100
2016-06-20,12.389477729797363,12.662319418621326,12.383276647922337,12.507295919951984,639100
2016-06-21,12.420479774475098,12.544497830172926,12.27785729545668,12.40807761408478,822200
2016-06-22,12.327466011047363,12.501092726007412,12.253055406589652,12.470088504605904,567500
2016-06-23,12.166243553161621,12.377074403431351,12.153841390576542,12.333668017118896,549700
2016-06-24,12.153841018676758,12.4266826735231,11.862396120522044,11.943008992123032,7215700
2016-06-27,12.116633415222168,12.445282372149924,12.017417319142682,12.246852545461076,1339800
2016-06-28,12.558053016662598,12.696191168699352,12.049452204823956,12.093405198761593,1515200
2016-06-29,12.689911842346191,12.821772020166035,12.507820698612145,12.620843365992226,987000
2016-06-30,12.928512573242188,12.94735007939216,12.413632714765972,12.62084049189979,790800
